|       | Bionicle Heroes                                                            | Eidos Interactive                      | PlayStation 2 | 2006 | NTSC (NA)
|       | Black                                                                      | EA Games                               | PlayStation 2 | 2006 | NTSC (NA)
|       | Black & Bruised                                                            | Majesco Games                          | PlayStation 2 | 2003 | NTSC (NA)
|       | Blade II                                                                   | Activision                             | PlayStation 2 | 2002 | NTSC (NA)
|       | Blitz: The League                                                          | Midway                                 | PlayStation 2 | 2005 | NTSC (NA)
|       | Blood Omen 2                                                               | Eidos Interactive                      | PlayStation 2 | 2002 | NTSC (NA)
|       | Blood Will Tell: Tezuka Osamu's Dororo                                     | Sega                                   | PlayStation 2 | 2004 | NTSC (NA)
|       | BloodRayne                                                                 | Majesco Games                          | PlayStation 2 | 2002 | NTSC (NA)
|       | BloodRayne 2                                                               | Majesco Games                          | PlayStation 2 | 2004 | NTSC (NA)
|       | Bloody Roar 3                                                              | Activision                             | PlayStation 2 | 2001 | NTSC (NA)
|       | Bloody Roar 4                                                              | Hudson                                 | PlayStation 2 | 2003 | NTSC (NA)
|       | BlowOut                                                                    | Majesco Games                          | PlayStation 2 | 2003 | NTSC (NA)
|       | BMX XXX                                                                    | Acclaim                                | PlayStation 2 | 2002 | NTSC (NA)
|       | Bode Miller Alpine Skiing                                                  | Valcon Games                           | PlayStation 2 | 2006 | NTSC (NA)
|       | Bolt                                                                       | Disney Interactive Studios             | PlayStation 2 | 2008 | NTSC (NA)
|       | Bombastic                                                                  | Capcom                                 | PlayStation 2 | 2003 | NTSC (NA)
|       | Boogie                                                                     | Electronic Arts                        | PlayStation 2 | 2007 | NTSC (NA)
|       | Bouncer, The                                                               | Square EA                              | PlayStation 2 | 2001 | NTSC (NA)
|       | Bratz: Forever Diamondz                                                    | THQ                                    | PlayStation 2 | 2006 | NTSC (NA)
|       | Bratz: Girlz Really Rock                                                   | THQ                                    | PlayStation 2 | 2008 | NTSC (NA)
|       | Bratz: Rock Angelz                                                         | THQ                                    | PlayStation 2 | 2005 | NTSC (NA)
|       | Bratz: The Movie                                                           | THQ                                    | PlayStation 2 | 2007 | NTSC (NA)
