|       | Koneko Monogatari: The Adventures of Chatran                  | Pony Canyon           | Famicom Disk System | 1986 | NTSC (JP)
|       | Legend of Zelda 2: Link no Bouken, The                        | Nintendo              | Famicom Disk System | 1987 | NTSC (JP)
|       | Lutter                                                        | Athena                | Famicom Disk System | 1989 | NTSC (JP)
|       | Magma Project Hacker                                          | Tokuma Shoten         | Famicom Disk System | 1989 | NTSC (JP)
|       | Mahjong                                                       | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Mahjong Kazoku                                                | Irem                  | Famicom Disk System | 1987 | NTSC (JP)
|       | Marchen Veil                                                  | SunSoft               | Famicom Disk System | 1987 | NTSC (JP)
|       | Matou no Houkai                                               | Pony Canyon           | Famicom Disk System | 1988 | NTSC (JP)
|       | Meikyuu Jiin Dababa                                           | Konami                | Famicom Disk System | 1987 | NTSC (JP)
|       | Metroid                                                       | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Michael English Daibouken                                     | Scorpion Soft         | Famicom Disk System | 1987 | NTSC (JP)
|       | Moero TwinBee: Cinnamon Hakushi o Sukue!                      | Konami                | Famicom Disk System | 1986 | NTSC (JP)
|       | Monitor Puzzle Kineko: Kinetic Connection                     | Irem                  | Famicom Disk System | 1986 | NTSC (JP)
|       | Monitor Puzzle Kineko: Kinetic Connection Vol. II             | Irem                  | Famicom Disk System | 1987 | NTSC (JP)
|       | Monty no Doki Doki Daidassou: Monty on the Run                | Jaleco Entertainment  | Famicom Disk System | 1987 | NTSC (JP)
|       | Moon Ball Magic                                               | SquareSoft            | Famicom Disk System | 1988 | NTSC (JP)
|       | Mr. Gold: Tooyama no Kinsan Space Chou                        | Toei Animation        | Famicom Disk System | 1988 | NTSC (JP)
|       | Namida no Soukoban Special                                    | ASCII Entertainment   | Famicom Disk System | 1986 | NTSC (JP)
|       | Nankin no Adventure                                           | SunSoft               | Famicom Disk System | 1988 | NTSC (JP)
|       | Nazo no Kabe: Block Kuzushi                                   | Konami                | Famicom Disk System | 1986 | NTSC (JP)
|       | Nazo no Murasame-Jou                                          | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Nazoler Land Dai 2 Gou                                        | SunSoft               | Famicom Disk System | 1987 | NTSC (JP)
|       | Nazoler Land Dai 3 Gou                                        | SunSoft               | Famicom Disk System | 1988 | NTSC (JP)
|       | Nazoler Land Soukan Gou                                       | SunSoft               | Famicom Disk System | 1987 | NTSC (JP)
|       | Nazoler Land Special!! Quiz Ou o Ikuse                        | SunSoft               | Famicom Disk System | 1987 | NTSC (JP)
|       | Omoikkiri Tanteidan Haado Gumi: Matenrou no Chousenjou        | Bandai                | Famicom Disk System | 1988 | NTSC (JP)
|       | Othello                                                       | Kawada                | Famicom Disk System | 1986 | NTSC (JP)
|       | Otocky                                                        | ASCII Entertainment   | Famicom Disk System | 1987 | NTSC (JP)
|       | Pac-Man                                                       | Namco                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Pachicom                                                      | Toshiba EMI           | Famicom Disk System | 1988 | NTSC (JP)
|       | Pachinko GP                                                   | Data East             | Famicom Disk System | 1988 | NTSC (JP)
|       | Panic Space - Famimaga Disk Vol. 2                            | Tokuma Shoten         | Famicom Disk System | 1990 | NTSC (JP)
|       | Pinball                                                       | Nintendo              | Famicom Disk System | 1989 | NTSC (JP)
|       | Pro Golfer Saru: Kage no Tournament                           | Bandai                | Famicom Disk System | 1987 | NTSC (JP)
|       | Pro Wrestling: Famicom Wrestling Association                  | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Professional Mahjong Gokuu                                    | ASCII Entertainment   | Famicom Disk System | 1986 | NTSC (JP)
|       | Pulsar no Hikari                                              | Soft Pro              | Famicom Disk System | 1987 | NTSC (JP)
|       | Putt Putt Golf                                                | Pack-In-Video         | Famicom Disk System | 1989 | NTSC (JP)
|       | Puyo Puyo - Famimaga Disk Vol. 5                              | Tokuma Shoten         | Famicom Disk System | 1991 | NTSC (JP)
|       | Puzzle Boys                                                   | ATLUS                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Radical Bomber!! Jirai-Kun                                    | Jaleco Entertainment  | Famicom Disk System | 1988 | NTSC (JP)
|       | Reflect World                                                 | East Cube             | Famicom Disk System | 1987 | NTSC (JP)
|       | Relics: Ankoku Yousai                                         | Bothtec               | Famicom Disk System | 1987 | NTSC (JP)
|       | Replicart                                                     | Taito Corporation     | Famicom Disk System | 1988 | NTSC (JP)
|       | Risa no Yousei Densetsu                                       | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | Roger Rabbit                                                  | Kemco                 | Famicom Disk System | 1989 | NTSC (JP)
|       | Samurai Sword                                                 | Capcom                | Famicom Disk System | 1988 | NTSC (JP)
|       | Santa Claus no Takarabako                                     | Data East             | Famicom Disk System | 1987 | NTSC (JP)
|       | SD Gundam World Map Collection                                | Bandai                | Famicom Disk System | 1989 | NTSC (JP)
|       | SD Gundam World: Gachapon Senshi - Scramble Wars              | Bandai                | Famicom Disk System | 1987 | NTSC (JP)
|       | Section-Z                                                     | Capcom                | Famicom Disk System | 1987 | NTSC (JP)
|       | Seiken Psycho Caliber: Maju no Mori Densetsu                  | Imagineer             | Famicom Disk System | 1987 | NTSC (JP)
|       | Sexy Invaders                                                 | Super Pig             | Famicom Disk System | 1990 | NTSC (JP)
|       | Smash Ping Pong                                               | Nintendo              | Famicom Disk System | 1987 | NTSC (JP)
|       | Soccer                                                        | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Solomon no Kagi                                               | Tecmo                 | Famicom Disk System | 1991 | NTSC (JP)
|       | Suishou no Dragon                                             | SquareSoft            | Famicom Disk System | 1986 | NTSC (JP)
|       | Super Boy Allan                                               | SunSoft               | Famicom Disk System | 1987 | NTSC (JP)
|       | Super Lode Runner                                             | Irem                  | Famicom Disk System | 1987 | NTSC (JP)
|       | Super Lode Runner II                                          | Irem                  | Famicom Disk System | 1987 | NTSC (JP)
|       | Super Mario Bros. 2                                           | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Super Mario Brothers                                          | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Sylviana: Ai Ippai no Boukensha                               | Pack-In-Video         | Famicom Disk System | 1988 | NTSC (JP)
|       | Tama and Friends: 3 Choume Daibouken                          | Bandai                | Famicom Disk System | 1989 | NTSC (JP)
|       | Tanigawa Kouji no Shogi Shinan II: Meijin e no Michi          | Pony Canyon           | Famicom Disk System | 1987 | NTSC (JP)
|       | Tanigawa Kouji no Shogi Shinan II: Tsume no Shogi             | Pony Canyon           | Famicom Disk System | 1988 | NTSC (JP)
