|       | Shining the Holy Ark                                           | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Shining Wisdom                                                 | Working Designs          | Sega Saturn | 1995 | NTSC (NA)
|       | Shinobi Legions                                                | Vic Tokai                | Sega Saturn | 1995 | NTSC (NA)
|       | Shockwave Assault                                              | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | SimCity 2000                                                   | Maxis                    | Sega Saturn | 1995 | NTSC (NA)
|       | Skeleton Warriors                                              | Playmates                | Sega Saturn | 1996 | NTSC (NA)
|       | Sky Target                                                     | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Slam 'n Jam '96 featuring Magic & Kareem                       | Crystal Dynamics         | Sega Saturn | 1996 | NTSC (NA)
|       | Solar Eclipse                                                  | Crystal Dynamics         | Sega Saturn | 1995 | NTSC (NA)
|       | Sonic 3D Blast                                                 | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Sonic Jam                                                      | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Sonic R                                                        | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Soviet Strike                                                  | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Space Hulk: Vengeance of the Blood Angels                      | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Space Jam                                                      | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Spot Goes to Hollywood                                         | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Star Fighter                                                   | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Steep Slope Sliders                                            | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Street Fighter Alpha 2                                         | Capcom                   | Sega Saturn | 1996 | NTSC (NA)
|       | Street Fighter Alpha: Warriors' Dreams                         | Capcom                   | Sega Saturn | 1996 | NTSC (NA)
|       | Street Fighter Collection                                      | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Street Fighter: The Movie                                      | Capcom                   | Sega Saturn | 1995 | NTSC (NA)
|       | Striker '96                                                    | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Super Puzzle Fighter II Turbo                                  | Capcom                   | Sega Saturn | 1997 | NTSC (NA)
|       | Tempest 2000                                                   | Interplay                | Sega Saturn | 1996 | NTSC (NA)
|       | Ten Pin Alley                                                  | ASC Games                | Sega Saturn | 1997 | NTSC (NA)
|       | Tetris Plus                                                    | Jaleco Entertainment     | Sega Saturn | 1996 | NTSC (NA)
|       | Theme Park                                                     | Electronic Arts          | Sega Saturn | 1995 | NTSC (NA)
|       | Three Dirty Dwarves                                            | SegaSoft                 | Sega Saturn | 1997 | NTSC (NA)
|       | Thunderstrike 2                                                | U.S. Gold                | Sega Saturn | 1996 | NTSC (NA)
|       | TNN Motor Sports Hardcore 4X4                                  | ASC Games                | Sega Saturn | 1996 | NTSC (NA)
|       | Tomb Raider                                                    | Eidos Interactive        | Sega Saturn | 1996 | NTSC (NA)
|       | True Pinball                                                   | Ocean                    | Sega Saturn | 1996 | NTSC (NA)
|       | Tunnel B1                                                      | Acclaim                  | Sega Saturn | 1997 | NTSC (NA)
|       | Ultimate Mortal Kombat 3                                       | Williams                 | Sega Saturn | 1996 | NTSC (NA)
|       | Valora Valley Golf                                             | Vic Tokai                | Sega Saturn | 1996 | NTSC (NA)
|       | Virtua Cop                                                     | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Virtua Cop 2                                                   | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Virtua Fighter                                                 | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Virtua Fighter 2                                               | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Virtua Fighter 2 / Virtua Cop / Daytona USA                    | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Virtua Fighter Kids                                            | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Virtua Fighter Remix                                           | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Virtual Casino                                                 | Natsume                  | Sega Saturn | 1996 | NTSC (NA)
|       | Virtual Hydlide                                                | ATLUS                    | Sega Saturn | 1995 | NTSC (NA)
|       | Virtual Open Tennis                                            | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Virtual-On: Cyber Troopers                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Virtual-On: Cyber Troopers - NetLink Edition                   | Sega                     | Sega Saturn | 1998 | NTSC (NA)
