|       | Call of Duty: Black Ops II                                               | Activision                             | PlayStation 3 | 2012 | North America
|       | Call of Duty: Black Ops III                                              | Activision                             | PlayStation 3 | 2015 | North America
|       | Call of Duty: Ghosts                                                     | Activision                             | PlayStation 3 | 2013 | North America
|       | Call of Duty: Modern Warfare 2                                           | Activision                             | PlayStation 3 | 2009 | North America
|       | Call of Duty: Modern Warfare 3                                           | Activision                             | PlayStation 3 | 2011 | North America
|       | Call of Duty: Modern Warfare Collection                                  | Activision                             | PlayStation 3 | 2010 | North America
|       | Call of Duty: Modern Warfare Trilogy                                     | Activision                             | PlayStation 3 | 2016 | North America
|       | Call of Duty: World at War                                               | Activision Blizzard                    | PlayStation 3 | 2008 | North America
|       | Call of Juarez: Bound in Blood                                           | Ubisoft                                | PlayStation 3 | 2009 | North America
|       | Call of Juarez: The Cartel                                               | Ubisoft                                | PlayStation 3 | 2011 | North America
|       | Capcom Essentials                                                        | Capcom                                 | PlayStation 3 | 2013 | North America
|       | Captain America: Super Soldier                                           | Sega                                   | PlayStation 3 | 2011 | North America
|       | Carnival Island                                                          | SCEA                                   | PlayStation 3 | 2011 | North America
|       | Cars 2: The Video Game                                                   | Disney Interactive Studios             | PlayStation 3 | 2011 | North America
|       | Cars 3: Driven to Win                                                    | Warner Bros. Interactive Entertainment | PlayStation 3 | 2017 | North America
|       | Cars Mater-National Championship                                         | THQ                                    | PlayStation 3 | 2007 | North America
|       | Cars Race-O-Rama                                                         | THQ                                    | PlayStation 3 | 2009 | North America
|       | Cartoon Network: Punch Time Explosion XL                                 | Crave                                  | PlayStation 3 | 2011 | North America
|       | Castlevania: Lords of Shadow                                             | Konami                                 | PlayStation 3 | 2010 | North America
|       | Castlevania: Lords of Shadow 2                                           | Konami                                 | PlayStation 3 | 2014 | North America
|       | Castlevania: Lords of Shadow Collection                                  | Konami                                 | PlayStation 3 | 2013 | North America
|       | Catherine                                                                | ATLUS                                  | PlayStation 3 | 2011 | North America
|       | Champion Jockey: G1 Jockey & Gallop Racer                                | Tecmo Koei America Corp.               | PlayStation 3 | 2011 | North America
|       | Chaotic: Shadow Warriors                                                 | Activision                             | PlayStation 3 | 2009 | North America
|       | Check vs. Mate                                                           | SouthPeak Games                        | PlayStation 3 | 2017 | North America
|       | Child of Eden                                                            | Ubisoft                                | PlayStation 3 | 2011 | North America
|       | Chronicles of Narnia: Prince Caspian, The                                | Disney Interactive Studios             | PlayStation 3 | 2008 | North America
|       | Chronicles of Riddick: Assault on Dark Athena, The                       | Atari                                  | PlayStation 3 | 2009 | North America
|       | Clash of the Titans                                                      | Namco Bandai Games                     | PlayStation 3 | 2010 | North America
|       | Class of Heroes 2G                                                       | GAIJINWORKS                            | PlayStation 3 | 2014 | North America
|       | Clive Barker's Jericho                                                   | Codemasters                            | PlayStation 3 | 2007 | North America
|       | Cloudy With a Chance of Meatballs                                        | Ubisoft                                | PlayStation 3 | 2009 | North America
|       | Club, The                                                                | Sega                                   | PlayStation 3 | 2008 | North America
|       | College Hoops 2K7                                                        | 2K Sports                              | PlayStation 3 | 2007 | North America
|       | College Hoops 2K8                                                        | 2K Sports                              | PlayStation 3 | 2007 | North America
|       | Combat Wings: The Great Battles of WWII                                  | City Interactive                       | PlayStation 3 | 2012 | North America
|       | Command & Conquer: Red Alert 3                                           | Electronic Arts                        | PlayStation 3 | 2009 | North America
|       | Conan                                                                    | THQ                                    | PlayStation 3 | 2007 | North America
|       | Condemned 2: Bloodshot                                                   | Sega                                   | PlayStation 3 | 2008 | North America
|       | Conflict: Denied Ops                                                     | Eidos Interactive                      | PlayStation 3 | 2008 | North America
|       | Create                                                                   | EA Games                               | PlayStation 3 | 2010 | North America
|       | Cross Edge                                                               | NIS America                            | PlayStation 3 | 2009 | North America
|       | Crysis 2                                                                 | EA Games                               | PlayStation 3 | 2011 | North America
|       | Crysis 3                                                                 | EA Games                               | PlayStation 3 | 2013 | North America
|       | CSI: Crime Scene Investigation: Fatal Conspiracy                         | Ubisoft                                | PlayStation 3 | 2010 | North America
|       | Cursed Crusade, The                                                      | ATLUS                                  | PlayStation 3 | 2011 | North America
|       | Damage Inc.: Pacific Squadron WWII                                       | Mad Catz                               | PlayStation 3 | 2012 | North America
|       | Damnation                                                                | Codemasters                            | PlayStation 3 | 2009 | North America
|       | Dance Magic                                                              | Gaijin Entertainment                   | PlayStation 3 | 2013 | North America
|       | Dance on Broadway                                                        | Ubisoft                                | PlayStation 3 | 2011 | North America
|       | DanceDanceRevolution                                                     | Konami                                 | PlayStation 3 | 2010 | North America
|       | DanceStar Party                                                          | SCEA                                   | PlayStation 3 | 2017 | North America
|       | Dante's Inferno                                                          | Electronic Arts                        | PlayStation 3 | 2010 | North America
|       | Dark Sector                                                              | D3Publisher                            | PlayStation 3 | 2008 | North America
|       | Dark Souls                                                               | Namco Bandai Games America             | PlayStation 3 | 2011 | North America
|       | Dark Souls II                                                            | Namco Bandai Games                     | PlayStation 3 | 2014 | North America
|       | Dark Souls II: Scholar of the First Sin                                  | Bandai Namco Games                     | PlayStation 3 | 2015 | North America
|       | Dark Void                                                                | Capcom                                 | PlayStation 3 | 2010 | North America
|       | Darkness II, The                                                         | 2K Games                               | PlayStation 3 | 2012 | North America
|       | Darkness, The                                                            | 2K Games                               | PlayStation 3 | 2007 | North America
