|       | Board Game Classics                                                                                                                                                                    | DSI Games                              | Game Boy Advance | 2005 | NTSC (NA)
|       | Boktai 2: Solar Boy Django                                                                                                                                                             | Kojima Productions                     | Game Boy Advance | 2004 | NTSC (NA)
|       | Boktai: The Sun Is in Your Hand                                                                                                                                                        | Konami                                 | Game Boy Advance | 2003 | NTSC (NA)
|       | Bomberman Max 2: Blue Advance                                                                                                                                                          | Majesco Games                          | Game Boy Advance | 2002 | NTSC (NA)
|       | Bomberman Max 2: Red Advance                                                                                                                                                           | Majesco Games                          | Game Boy Advance | 2002 | NTSC (NA)
|       | Bomberman Tournament                                                                                                                                                                   | Activision                             | Game Boy Advance | 2013 | NTSC (NA)
|       | Bookworm                                                                                                                                                                               | Majesco Games                          | Game Boy Advance | 2013 | NTSC (NA)
|       | Boulder Dash EX                                                                                                                                                                        | Kemco                                  | Game Boy Advance | 2002 | NTSC (NA)
|       | Boxing Fever                                                                                                                                                                           | Majesco Games                          | Game Boy Advance | 2001 | NTSC (NA)
|       | Bratz                                                                                                                                                                                  | Ubisoft                                | Game Boy Advance | 2003 | NTSC (NA)
|       | Bratz: Babyz                                                                                                                                                                           | THQ                                    | Game Boy Advance | 2013 | NTSC (NA)
|       | Bratz: Forever Diamondz                                                                                                                                                                | THQ                                    | Game Boy Advance | 2006 | NTSC (NA)
|       | Bratz: Rock Angelz                                                                                                                                                                     | THQ                                    | Game Boy Advance | 2013 | NTSC (NA)
|       | Bratz: The Movie                                                                                                                                                                       | THQ                                    | Game Boy Advance | 2007 | NTSC (NA)
|       | Breath of Fire                                                                                                                                                                         | Capcom                                 | Game Boy Advance | 2001 | NTSC (NA)
|       | Breath of Fire II                                                                                                                                                                      | Capcom                                 | Game Boy Advance | 2002 | NTSC (NA)
|       | Britney's Dance Beat                                                                                                                                                                   | THQ                                    | Game Boy Advance | 2002 | NTSC (NA)
|       | Broken Sword: The Shadow of the Templars                                                                                                                                               | Bam Entertainment                      | Game Boy Advance | 2002 | NTSC (NA)
|       | Bruce Lee: Return of the Legend                                                                                                                                                        | VU Games                               | Game Boy Advance | 2003 | NTSC (NA)
|       | Bubble Bobble: Old & New                                                                                                                                                               | Empire Interactive                     | Game Boy Advance | 2013 | NTSC (NA)
|       | Buffy the Vampire Slayer: Wrath of the Darkhul King                                                                                                                                    | THQ                                    | Game Boy Advance | 2003 | NTSC (NA)
|       | Butt Ugly Martians: B.K.M. Battles                                                                                                                                                     | VU Games                               | Game Boy Advance | 2002 | NTSC (NA)
|       | Cabbage Patch Kids: The Patch Puppy Rescue                                                                                                                                             | D3Publisher                            | Game Boy Advance | 2006 | NTSC (NA)
|       | Cabela's Big Game Hunter                                                                                                                                                               | Activision                             | Game Boy Advance | 2002 | NTSC (NA)
|       | Cabela's Big Game Hunter 2005 Adventures                                                                                                                                               | Activision Value                       | Game Boy Advance | 2004 | NTSC (NA)
|       | Caesars Palace Advance: Millenium Gold Edition                                                                                                                                         | Majesco Games                          | Game Boy Advance | 2001 | NTSC (NA)
|       | Camp Lazlo: Leaky Lake Games                                                                                                                                                           | Crave                                  | Game Boy Advance | 2006 | NTSC (NA)
|       | CandyLand / Chutes & Ladders / Original Memory Game                                                                                                                                    | Destination Software                   | Game Boy Advance | 2005 | NTSC (NA)
|       | Capcom Classics Mini Mix                                                                                                                                                               | Capcom                                 | Game Boy Advance | 2006 | NTSC (NA)
|       | Car Battler Joe                                                                                                                                                                        | Natsume                                | Game Boy Advance | 2002 | NTSC (NA)
|       | Care Bears: Care Quest                                                                                                                                                                 | The Game Factory                       | Game Boy Advance | 2005 | NTSC (NA)
|       | Cars                                                                                                                                                                                   | THQ                                    | Game Boy Advance | 2006 | NTSC (NA)
|       | Cars Mater-National Championship                                                                                                                                                       | THQ                                    | Game Boy Advance | 2007 | NTSC (NA)
|       | Cartoon Network Block Party                                                                                                                                                            | Majesco Games                          | Game Boy Advance | 2004 | NTSC (NA)
|       | Cartoon Network Block Party / Speedway                                                                                                                                                 | Majesco Games                          | Game Boy Advance | 2005 | NTSC (NA)
|       | Cartoon Network Bundle                                                                                                                                                                 | Majesco                                | Game Boy Advance | 2004 | NTSC (NA)
|       | Cartoon Network Speedway                                                                                                                                                               | Majesco Games                          | Game Boy Advance | 2003 | NTSC (NA)
|       | Casper                                                                                                                                                                                 | Microids                               | Game Boy Advance | 2013 | NTSC (NA)
|       | Castlevania Double Pack                                                                                                                                                                | Konami                                 | Game Boy Advance | 2006 | NTSC (NA)
|       | Castlevania: Aria of Sorrow                                                                                                                                                            | Konami                                 | Game Boy Advance | 2003 | NTSC (NA)
|       | Castlevania: Circle of the Moon                                                                                                                                                        | Konami                                 | Game Boy Advance | 2001 | NTSC (NA)
|       | Castlevania: Harmony of Dissonance                                                                                                                                                     | Konami                                 | Game Boy Advance | 2002 | NTSC (NA)
|       | Catwoman                                                                                                                                                                               | EA Games                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Catz                                                                                                                                                                                   | Ubisoft                                | Game Boy Advance | 2006 | NTSC (NA)
|       | Centipede / Breakout / Warlords                                                                                                                                                        | DSI Games                              | Game Boy Advance | 2005 | NTSC (NA)
|       | Charlie and the Chocolate Factory                                                                                                                                                      | Global Star Software                   | Game Boy Advance | 2005 | NTSC (NA)
|       | Charlotte's Web                                                                                                                                                                        | Sega                                   | Game Boy Advance | 2006 | NTSC (NA)
|       | Cheetah Girls, The                                                                                                                                                                     | Buena Vista Games                      | Game Boy Advance | 2006 | NTSC (NA)
|       | Chessmaster                                                                                                                                                                            | Ubisoft                                | Game Boy Advance | 2002 | NTSC (NA)
|       | Chicken Little                                                                                                                                                                         | Buena Vista Games                      | Game Boy Advance | 2005 | NTSC (NA)
|       | Chicken Shoot                                                                                                                                                                          | DSI Games                              | Game Boy Advance | 2005 | NTSC (NA)
|       | Chicken Shoot 2                                                                                                                                                                        | DSI Games                              | Game Boy Advance | 2005 | NTSC (NA)
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The                                                                                                                        | Buena Vista Games                      | Game Boy Advance | 2005 | NTSC (NA)
|       | ChuChu Rocket!                                                                                                                                                                         | Sega                                   | Game Boy Advance | 2001 | NTSC (NA)
|       | CIMA: The Enemy                                                                                                                                                                        | Natsume                                | Game Boy Advance | 2003 | NTSC (NA)
|       | Classic NES Series: Bomberman                                                                                                                                                          | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Castlevania                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Donkey Kong                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Dr. Mario                                                                                                                                                          | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Excitebike                                                                                                                                                         | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Ice Climber                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Metroid                                                                                                                                                            | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Pac-Man                                                                                                                                                            | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
|       | Classic NES Series: Super Mario Bros.                                                                                                                                                  | Nintendo                               | Game Boy Advance | 2004 | NTSC (NA)
