|       | Cyber Stadium Series: Base Wars                             | Ultra                          | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Cyberball                                                   | Jaleco Entertainment           | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Cybernoid: The Fighting Machine                             | Acclaim                        | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Dance Aerobics                                              | Nintendo                       | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Danny Sullivan's Indy Heat                                  | Tradewest                      | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Darkman                                                     | Ocean                          | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Dash Galaxy in the Alien Asylum                             | Data East                      | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Day Dreamin' Davey                                          | Hal                            | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Days of Thunder                                             | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Deadly Towers                                               | Broderbund                     | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | Death Race                                                  | American Game Cartridges       | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Deathbots                                                   | American Video Entertainment   | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Defender II                                                 | Hal                            | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Defender of the Crown                                       | Ultra                          | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Defenders of Dynatron City                                  | JVC Musical Industries, Inc.   | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Deja Vu                                                     | Seika Corp.                    | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Demon Sword                                                 | Taito Corporation              | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Desert Commander                                            | Kemco                          | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Destination Earthstar                                       | Acclaim                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Destiny of an Emperor                                       | Capcom                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dick Tracy                                                  | Bandai                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Die Hard                                                    | Activision                     | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Dig Dug II: Trouble In Paradise                             | Bandai                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Digger T. Rock: The Legend of the Lost City                 | Milton Bradley                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Dirty Harry                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Disney Adventures in the Magic Kingdom                      | Capcom                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Disney's Chip 'n Dale: Rescue Rangers                       | Capcom                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Disney's Chip 'n Dale: Rescue Rangers 2                     | Capcom                         | Nintendo Entertainment System | 1994 | NTSC (NA)
|       | Disney's Darkwing Duck                                      | Capcom                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Disney's DuckTales                                          | Capcom                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Disney's DuckTales 2                                        | Capcom                         | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Disney's TaleSpin                                           | Capcom                         | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Disney's The Jungle Book                                    | Virgin Interactive             | Nintendo Entertainment System | 1994 | NTSC (NA)
|       | Disney's The Little Mermaid                                 | Capcom                         | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Dizzy The Adventurer                                        | Camerica                       | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Donkey Kong                                                 | Nintendo                       | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | Donkey Kong 3                                               | Nintendo                       | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | Donkey Kong Classics                                        | Nintendo                       | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Donkey Kong Jr.                                             | Nintendo                       | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | Donkey Kong Jr. Math                                        | Nintendo                       | Nintendo Entertainment System | 1985 | NTSC (NA)
|       | Double Dare                                                 | GameTek                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Double Dragon                                               | Tradewest                      | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Double Dragon II: The Revenge                               | Acclaim                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Double Dragon III: The Sacred Stones                        | Acclaim                        | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Double Dribble                                              | Konami                         | Nintendo Entertainment System | 1987 | NTSC (NA)
