|       | Girls' Fashion Shoot                                                      | Rising Star Games                      | Nintendo 3DS | 2013 | NTSC (NA)
|       | Goosebumps: The Game                                                      | GameMill Entertainment                 | Nintendo 3DS | 2015 | NTSC (NA)
|       | Gravity Falls: Legend of the Gnome Gemulets                               | Ubisoft                                | Nintendo 3DS | 2015 | NTSC (NA)
|       | Green Lantern: Rise of the Manhunters                                     | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | NTSC (NA)
|       | Hakuoki: Memories of the Shinsengumi                                      | Aksys Games                            | Nintendo 3DS | 2013 | NTSC (NA)
|       | Happy Feet Two: The Videogame                                             | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | NTSC (NA)
|       | Harvest Moon 3D: A New Beginning                                          | Natsume                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Harvest Moon 3D: The Lost Valley                                          | Natsume                                | Nintendo 3DS | 2014 | NTSC (NA)
|       | Harvest Moon 3D: The Tale of Two Towns                                    | Natsume                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Harvest Moon: Skytree Village                                             | Natsume                                | Nintendo 3DS | 2016 | NTSC (NA)
|       | Hatsune Miku: Project Mirai DX                                            | Sega                                   | Nintendo 3DS | 2015 | NTSC (NA)
|       | Heavy Fire: The Chosen Few 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Heavy Fire: The Chosen Few 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Hello Kitty and Sanrio Friends 3D Racing                                  | Majesco Games                          | Nintendo 3DS | 2014 | NTSC (NA)
|       | Hello Kitty Picnic with Sanrio Friends                                    | Majesco Games                          | Nintendo 3DS | 2012 | NTSC (NA)
|       | Heroes of Ruin                                                            | Square Enix                            | Nintendo 3DS | 2012 | NTSC (NA)
|       | Hey! Pikmin                                                               | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Hidden, The                                                               | Majesco Games                          | Nintendo 3DS | 2011 | NTSC (NA)
|       | HomeTown Story                                                            | Natsume                                | Nintendo 3DS | 2013 | NTSC (NA)
|       | Horses 3D                                                                 | Ubisoft                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Hot Wheels: World's Best Driver                                           | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | NTSC (NA)
|       | Hotel Transylvania                                                        | GameMill Publishing                    | Nintendo 3DS | 2012 | NTSC (NA)
|       | How to Train Your Dragon 2                                                | Little Orbit                           | Nintendo 3DS | 2014 | NTSC (NA)
|       | Hyrule Warriors Legends                                                   | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Ice Age: Continental Drift - Arctic Games                                 | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Imagine Babyz                                                             | Ubisoft                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Imagine Fashion Designer                                                  | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Imagine Fashion Life                                                      | Ubisoft                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Jake Hunter Detective Story: Ghost of the Dusk                            | Aksys Games                            | Nintendo 3DS | 2018 | NTSC (NA)
|       | Jake Hunter Detective Story: Ghost of the Dusk                            | Aksys Games                            | Nintendo 3DS | 2018 | NTSC (NA)
|       | James Noir's Hollywood Crimes                                             | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | JAWS: Ultimate Predator                                                   | Majesco Games                          | Nintendo 3DS | 2011 | NTSC (NA)
|       | Jewel Master: Cradle of Egypt 2 3D                                        | Rising Star Games                      | Nintendo 3DS | 2013 | NTSC (NA)
|       | Jewel Master: Cradle of Rome 2                                            | Rising Star Games                      | Nintendo 3DS | 2012 | NTSC (NA)
|       | Junior Classic Games 3D                                                   | Maximum Family Games                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Kid Icarus: Uprising                                                      | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | Kingdom Hearts 3D: Dream Drop Distance                                    | Square Enix                            | Nintendo 3DS | 2012 | NTSC (NA)
|       | Kirby: Planet Robobot                                                     | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Kirby: Triple Deluxe                                                      | Nintendo                               | Nintendo 3DS | 2014 | NTSC (NA)
|       | Kung Fu Panda: Showdown of Legendary Legends                              | Little Orbit                           | Nintendo 3DS | 2015 | NTSC (NA)
|       | Lalaloopsy: Carnival of Friends                                           | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Langrisser Re:Incarnation -TENSEI-                                        | Aksys Games                            | Nintendo 3DS | 2016 | NTSC (NA)
|       | Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy      | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy      | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | LBX: Little Battlers eXperience                                           | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Legend of Korra: A New Era Begins, The                                    | Activision                             | Nintendo 3DS | 2014 | NTSC (NA)
|       | Legend of Legacy, The                                                     | ATLUS                                  | Nintendo 3DS | 2015 | NTSC (NA)
|       | Legend of Zelda: A Link Between Worlds, The                               | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Legend of Zelda: Majora's Mask 3D, The                                    | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Legend of Zelda: Ocarina of Time 3D, The                                  | Nintendo                               | Nintendo 3DS | 2011 | NTSC (NA)
|       | Legend of Zelda: TriForce Heroes, The                                     | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Legends of Oz: Dorothy's Return                                           | GameMill Entertainment                 | Nintendo 3DS | 2014 | NTSC (NA)
|       | LEGO Batman 2: DC Super Heroes                                            | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | NTSC (NA)
|       | LEGO Batman 3: Beyond Gotham                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | NTSC (NA)
|       | LEGO City Undercover: The Chase Begins                                    | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Lego Friends                                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | NTSC (NA)
|       | LEGO Harry Potter: Years 5-7                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | NTSC (NA)
|       | LEGO Jurassic World                                                       | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2015 | NTSC (NA)
|       | LEGO Legends of Chima: Laval's Journey                                    | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | NTSC (NA)
|       | LEGO Marvel Super Heroes: Universe in Peril                               | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | NTSC (NA)
|       | LEGO Marvel's Avengers                                                    | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | NTSC (NA)
|       | LEGO Movie Videogame, The                                                 | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | NTSC (NA)
|       | LEGO Ninjago: Nindroids                                                   | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | NTSC (NA)
|       | LEGO Ninjago: Shadow of Ronin                                             | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2015 | NTSC (NA)
|       | LEGO Pirates of the Caribbean: The Video Game                             | Disney Interactive Studios             | Nintendo 3DS | 2011 | NTSC (NA)
|       | LEGO Star Wars III: The Clone Wars                                        | LucasArts                              | Nintendo 3DS | 2011 | NTSC (NA)
|       | LEGO Star Wars: The Force Awakens                                         | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | NTSC (NA)
|       | LEGO The Hobbit                                                           | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | NTSC (NA)
|       | LEGO The Lord of the Rings                                                | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | NTSC (NA)
|       | Let's Ride! Best in Breed 3D                                              | THQ                                    | Nintendo 3DS | 2012 | NTSC (NA)
|       | Lord of Magna: Maiden Heaven                                              | Xseed Games                            | Nintendo 3DS | 2015 | NTSC (NA)
|       | Luigi's Mansion: Dark Moon                                                | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Madagascar 3 & The Croods: Combo Pack                                     | D3Publisher                            | Nintendo 3DS | 2014 | NTSC (NA)
|       | Madagascar 3: The Video Game                                              | D3Publisher                            | Nintendo 3DS | 2012 | NTSC (NA)
|       | Madden NFL Football                                                       | Electronic Arts                        | Nintendo 3DS | 2011 | NTSC (NA)
|       | Mahjong 3D: Warriors of the Emperor                                       | Giant Media Group                      | Nintendo 3DS | 2012 | NTSC (NA)
|       | Mahjong Cub3d                                                             | ATLUS                                  | Nintendo 3DS | 2011 | NTSC (NA)
|       | Mario & Luigi: Dream Team                                                 | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Mario & Luigi: Paper Jam                                                  | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Mario & Luigi: Superstar Saga + Bowser's Minions                          | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Mario & Sonic at the London 2012 Olympic Games                            | Sega                                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Mario & Sonic at the Rio 2016 Olympic Games                               | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Mario Golf: World Tour                                                    | Nintendo                               | Nintendo 3DS | 2014 | NTSC (NA)
|       | Mario Kart 7                                                              | Nintendo                               | Nintendo 3DS | 2011 | NTSC (NA)
|       | Mario Party: Island Tour                                                  | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Mario Party: Star Rush                                                    | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Mario Sports Superstars                                                   | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Mario Tennis Open                                                         | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | Marvel Super Hero Squad: The Infinity Gauntlet                            | THQ                                    | Nintendo 3DS | 2011 | NTSC (NA)
|       | Mega Man Legacy Collection                                                | Capcom                                 | Nintendo 3DS | 2016 | NTSC (NA)
|       | Metal Gear Solid: Snake Eater 3D                                          | Konami                                 | Nintendo 3DS | 2012 | NTSC (NA)
|       | Metroid Prime: Federation Force                                           | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Metroid: Samus Returns                                                    | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Michael Jackson The Experience                                            | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Mii Maker                                                                 | Nintendo                               | Nintendo 3DS | 2011 | NTSC (NA)
|       | Miitopia                                                                  | Nintendo                               | Nintendo 3DS | 2017 | NTSC (NA)
|       | Mini-Mario & Friends: amiibo Challenge                                    | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Moco Moco Friends                                                         | Aksys Games                            | Nintendo 3DS | 2015 | NTSC (NA)
|       | Monster 4x4 3D                                                            | Ubisoft                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Monster High 13 Wishes                                                    | Little Orbit                           | Nintendo 3DS | 2013 | NTSC (NA)
|       | Monster High Skultimate Roller Maze                                       | Little Orbit                           | Nintendo 3DS | 2013 | NTSC (NA)
|       | Monster High: 13 Wishes                                                   | Little Orbit                           | Nintendo 3DS | 2013 | NTSC (NA)
|       | Monster High: New Ghoul in School                                         | Little Orbit                           | Nintendo 3DS | 2015 | NTSC (NA)
|       | Monster Hunter 3 Ultimate                                                 | Capcom                                 | Nintendo 3DS | 2013 | NTSC (NA)
|       | Monster Hunter 4 Ultimate                                                 | Capcom                                 | Nintendo 3DS | 2015 | NTSC (NA)
|       | Monster Hunter Generations                                                | Capcom                                 | Nintendo 3DS | 2016 | NTSC (NA)
|       | Monster Hunter Stories                                                    | Capcom                                 | Nintendo 3DS | 2017 | NTSC (NA)
|       | Moshi Monsters: Katsuma Unleashed                                         | Activision                             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Moshi Monsters: Moshlings Theme Park                                      | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | My Pet Puppy 3D                                                           | 505 Games                              | Nintendo 3DS | 2012 | NTSC (NA)
|       | Myst                                                                      | Maximum Family Games                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Nano Assault                                                              | Majesco Games                          | Nintendo 3DS | 2011 | NTSC (NA)
|       | Naruto Powerful Shippuden                                                 | Namco Bandai Games America             | Nintendo 3DS | 2013 | NTSC (NA)
|       | NASCAR Unleashed                                                          | Activision                             | Nintendo 3DS | 2011 | NTSC (NA)
|       | NCIS 3D                                                                   | Ubisoft                                | Nintendo 3DS | 2012 | NTSC (NA)
|       | Need for Speed: The Run                                                   | Electronic Arts                        | Nintendo 3DS | 2011 | NTSC (NA)
|       | New Super Mario Bros. 2                                                   | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | Nickelodeon Nicktoons MLB 3D                                              | 2K Games                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | Nickelodeon Teenage Mutant Ninja Turtles                                  | Activision                             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Nickelodeon Teenage Mutant Ninja Turtles                                  | Activision                             | Nintendo 3DS | 2013 | NTSC (NA)
