|       | Goal!                                                          | Jaleco Entertainment         | Game Boy | 1993 | NTSC (NA)
|       | Godzilla                                                       | Toho                         | Game Boy | 1990 | NTSC (NA)
|       | Golf                                                           | Nintendo                     | Game Boy | 1990 | NTSC (NA)
|       | Gradius: The Interstellar Assault                              | Konami                       | Game Boy | 1992 | NTSC (NA)
|       | Great Greed                                                    | Namco                        | Game Boy | 1993 | NTSC (NA)
|       | Gremlins 2: The New Batch                                      | SunSoft                      | Game Boy | 1991 | NTSC (NA)
|       | Hal Wrestling                                                  | Hal                          | Game Boy | 1990 | NTSC (NA)
|       | Harvest Moon GB                                                | Natsume                      | Game Boy | 1998 | NTSC (NA)
|       | Hatris                                                         | Bullet Proof Software        | Game Boy | 1991 | NTSC (NA)
|       | Heavyweight Championship Boxing                                | Activision                   | Game Boy | 1990 | NTSC (NA)
|       | Heiankyo Alien                                                 | Meldac                       | Game Boy | 1990 | NTSC (NA)
|       | High Stakes Gambling                                           | Electro Brain                | Game Boy | 1992 | NTSC (NA)
|       | Hit the Ice                                                    | Taito Corporation            | Game Boy | 1992 | NTSC (NA)
|       | Home Alone                                                     | THQ                          | Game Boy | 1991 | NTSC (NA)
|       | Home Alone 2: Lost in New York                                 | THQ                          | Game Boy | 1992 | NTSC (NA)
|       | Hook                                                           | Sony Imagesoft               | Game Boy | 1992 | NTSC (NA)
|       | Hudson Hawk                                                    | Sony Imagesoft               | Game Boy | 1991 | NTSC (NA)
|       | Humans, The                                                    | GameTek                      | Game Boy | 1992 | NTSC (NA)
|       | Hunt For Red October, The                                      | Hi-Tech                      | Game Boy | 1991 | NTSC (NA)
|       | Hyper Lode Runner                                              | Bandai                       | Game Boy | 1990 | NTSC (NA)
|       | In Your Face                                                   | Jaleco Entertainment         | Game Boy | 1990 | NTSC (NA)
|       | Incredible Crash Dummies, The                                  | LJN Ltd.                     | Game Boy | 1992 | NTSC (NA)
|       | Indiana Jones and the Last Crusade                             | Ubisoft                      | Game Boy | 1994 | NTSC (NA)
|       | InfoGenius Productivity Pak: Berlitz French Translator         | GameTek                      | Game Boy | 1991 | NTSC (NA)
|       | InfoGenius Productivity Pak: Berlitz Spanish Translator        | GameTek                      | Game Boy | 1991 | NTSC (NA)
|       | InfoGenius Productivity Pak: Frommer's Travel Guide            | GameTek                      | Game Boy | 1991 | NTSC (NA)
