|       | Chibi Maruko-Chan: Maruko Deluxe Quiz             | Takara           | Neo Geo AES | 1996 | NTSC (JP)
|       | Choujin Gakuen Gowcaizer                          | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Crossed Swords                                    | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Cyber-Lip                                         | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Double Dragon                                     | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Dunk Dream                                        | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Eight Man                                         | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Fast Striker                                      | NG:DEV.TEAM      | Neo Geo AES | 2010 | NTSC (JP)
|       | Fighter's History Dynamite                        | Data East        | Neo Geo AES | 1994 | NTSC (JP)
|       | Fire Suplex                                       | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | Flying Power Disc                                 | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Football Frenzy                                   | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Fu'un Mokushiroku: Kakutou Sousei                 | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Fu'un Super Tag Battle                            | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Galaxy Fight: Universal Warriors                  | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Garou Densetsu 2: Aratanaru Tatakai               | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | Garou Densetsu 3: Road to the Final Victory       | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | Garou Densetsu Special                            | SNK              | Neo Geo AES | 1993 | NTSC (JP)
|       | Garou Densetsu: Shukumei no Tatakai               | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Garou: Mark of the Wolves                         | SNK              | Neo Geo AES | 2000 | NTSC (JP)
|       | Ghost Pilots                                      | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Joy Joy Kid                                       | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | King of Fighters '94, The                         | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | King of Fighters '95, The                         | SNK              | Neo Geo AES | 1995 | NTSC (JP)
|       | King of Fighters '96, The                         | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | King of Fighters '97, The                         | SNK              | Neo Geo AES | 1997 | NTSC (JP)
|       | King of Fighters '98: Dream Match Never Ends, The | SNK              | Neo Geo AES | 1998 | NTSC (JP)
|       | King of Fighters '99, The                         | SNK              | Neo Geo AES | 1999 | NTSC (JP)
|       | King of Fighters 2000, The                        | SNK              | Neo Geo AES | 2000 | NTSC (JP)
|       | King of Fighters 2001, The                        | Sun Amusement    | Neo Geo AES | 2002 | NTSC (JP)
|       | King of Fighters 2002, The                        | Playmore         | Neo Geo AES | 2002 | NTSC (JP)
|       | King of Fighters 2003, The                        | SNK Playmore     | Neo Geo AES | 2004 | NTSC (JP)
|       | King of the Monsters                              | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | King of the Monsters 2: The Next Thing            | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | Last Resort                                       | SNK              | Neo Geo AES | 1992 | NTSC (JP)
|       | League Bowling                                    | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Magical Drop 2                                    | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Magical Drop III                                  | SNK              | Neo Geo AES | 1997 | NTSC (JP)
|       | Magician Lord                                     | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Mahjong Kyoretsuden                               | SNK              | Neo Geo AES | 1991 | NTSC (JP)
|       | Metal Slug                                        | SNK              | Neo Geo AES | 1996 | NTSC (JP)
|       | Metal Slug 2                                      | SNK              | Neo Geo AES | 1998 | NTSC (JP)
|       | Metal Slug 3                                      | SNK              | Neo Geo AES | 2000 | NTSC (JP)
|       | Metal Slug 4                                      | Sun Amusement    | Neo Geo AES | 2002 | NTSC (JP)
|       | Metal Slug 5                                      | SNK Playmore     | Neo Geo AES | 2004 | NTSC (JP)
|       | Metal Slug X                                      | SNK              | Neo Geo AES | 1999 | NTSC (JP)
|       | Minasan No Okagesamadesu!                         | Monolith (Japan) | Neo Geo AES | 1991 | NTSC (JP)
|       | Miracle Adventure                                 | SNK              | Neo Geo AES | 1994 | NTSC (JP)
|       | Mutation Nation                                   | SNK              | Neo Geo AES | 1992 | NTSC (JP)
