|       | Missile Command                                      | Atari                        | Atari 2600 | 1981 | NTSC (NA)
|       | Mission Survive                                      | Video Gems                   | Atari 2600 | 1983 | NTSC (NA)
|       | Mogul Maniac                                         | Amiga                        | Atari 2600 | 1982 | NTSC (NA)
|       | Montezuma's Revenge: Featuring Panama Joe            | Parker Bros                  | Atari 2600 | 1984 | NTSC (NA)
|       | Moon Patrol                                          | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Moonsweeper                                          | Imagic                       | Atari 2600 | 1983 | NTSC (NA)
|       | Moto Rodeo                                           | Atari                        | Atari 2600 | 1990 | NTSC (NA)
|       | Motocross Racer                                      | Xonox                        | Atari 2600 | 1984 | NTSC (NA)
|       | Mountain King                                        | CBS Electronics              | Atari 2600 | 1983 | NTSC (NA)
|       | Mouse Trap                                           | Coleco                       | Atari 2600 | 1982 | NTSC (NA)
|       | Mr. Do!                                              | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Mr. Do!'s Castle                                     | Parker Bros                  | Atari 2600 | 1984 | NTSC (NA)
|       | Ms. Pac-Man                                          | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Music Machine, The                                   | Sparrow                      | Atari 2600 | 1983 | NTSC (NA)
|       | Name This Game                                       | US Games                     | Atari 2600 | 1982 | NTSC (NA)
|       | Night Driver                                         | Atari, Inc.                  | Atari 2600 | 1978 | NTSC (NA)
|       | Nightmare                                            | Sancho                       | Atari 2600 | 1983 | NTSC (NA)
|       | No Escape!                                           | Imagic                       | Atari 2600 | 1983 | NTSC (NA)
|       | Nuts                                                 | Technovision                 | Atari 2600 | 1983 | NTSC (NA)
|       | Obelix                                               | Atari                        | Atari 2600 | 1986 | NTSC (NA)
|       | Ocean City Defender                                  | Zellers                      | Atari 2600 | 1983 | NTSC (NA)
|       | Off the Wall                                         | Atari                        | Atari 2600 | 1989 | NTSC (NA)
|       | Official Frogger, The                                | Starpath Corp.               | Atari 2600 | 1982 | NTSC (NA)
|       | Oink!                                                | Activision                   | Atari 2600 | 1982 | NTSC (NA)
|       | Omega Race                                           | CBS Electronics              | Atari 2600 | 1983 | NTSC (NA)
|       | Open! Sesame                                         | Bit Corp.                    | Atari 2600 | 1982 | NTSC (NA)
|       | Oscar's Trash Race                                   | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Othello                                              | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Out Of Control                                       | Avalon Hill                  | Atari 2600 | 1983 | NTSC (NA)
|       | Outlaw                                               | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Pac-Man                                              | Atari                        | Atari 2600 | 1981 | NTSC (NA)
|       | Panda Chase                                          | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Parachute                                            | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Party Mix                                            | Starpath Corp.               | Atari 2600 | 1983 | NTSC (NA)
|       | Pele's Soccer                                        | Atari                        | Atari 2600 | 1980 | NTSC (NA)
|       | Pengo                                                | Atari                        | Atari 2600 | 1984 | NTSC (NA)
