|       | Dungeons & Dragons Tactics                                                         | Atari                                  | PlayStation Portable | 2007 | NTSC (NA)
|       | Dynasty Warriors                                                                   | Koei                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | Dynasty Warriors Vol. 2                                                            | Koei                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | Dynasty Warriors: Strikeforce                                                      | Koei                                   | PlayStation Portable | 2009 | NTSC (NA)
|       | EA Replay                                                                          | Electronic Arts                        | PlayStation Portable | 2006 | NTSC (NA)
|       | Eragon                                                                             | Vivendi Games                          | PlayStation Portable | 2006 | NTSC (NA)
|       | Every Extend Extra                                                                 | Buena Vista Games                      | PlayStation Portable | 2006 | NTSC (NA)
|       | Exit                                                                               | Ubisoft                                | PlayStation Portable | 2006 | NTSC (NA)
|       | EyePet                                                                             | SCEA                                   | PlayStation Portable | 2010 | NTSC (NA)
|       | EyePet Adventures                                                                  | SCEA                                   | PlayStation Portable | 2017 | NTSC (NA)
|       | F1 2009                                                                            | Codemasters                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Fading Shadows                                                                     | Agetec Inc.                            | PlayStation Portable | 2008 | NTSC (NA)
|       | Family Guy                                                                         | 2K Games                               | PlayStation Portable | 2006 | NTSC (NA)
|       | Fast and the Furious, The                                                          | Namco Bandai Games America             | PlayStation Portable | 2007 | NTSC (NA)
|       | Fat Princess: Fistful of Cake                                                      | SCEA                                   | PlayStation Portable | 2010 | NTSC (NA)
|       | Fate/Extra                                                                         | Aksys Games                            | PlayStation Portable | 2011 | NTSC (NA)
|       | Field Commander                                                                    | Sony Online Entertainment              | PlayStation Portable | 2006 | NTSC (NA)
|       | FIFA 07 Soccer                                                                     | EA Sports                              | PlayStation Portable | 2006 | NTSC (NA)
|       | FIFA Soccer                                                                        | Electronic Arts                        | PlayStation Portable | 2005 | NTSC (NA)
|       | FIFA Soccer 06                                                                     | EA Sports                              | PlayStation Portable | 2005 | NTSC (NA)
|       | FIFA Soccer 08                                                                     | EA Sports                              | PlayStation Portable | 2007 | NTSC (NA)
|       | FIFA Soccer 09                                                                     | EA Sports                              | PlayStation Portable | 2008 | NTSC (NA)
|       | FIFA Soccer 10                                                                     | Electronic Arts                        | PlayStation Portable | 2009 | NTSC (NA)
|       | FIFA Soccer 11                                                                     | Electronic Arts                        | PlayStation Portable | 2010 | NTSC (NA)
|       | FIFA Soccer 12                                                                     | Electronic Arts                        | PlayStation Portable | 2011 | NTSC (NA)
|       | FIFA Soccer 13                                                                     | EA Sports                              | PlayStation Portable | 2012 | NTSC (NA)
|       | FIFA Street 2                                                                      | EA Sports Big                          | PlayStation Portable | 2006 | NTSC (NA)
|       | FIFA World Cup: Germany 2006                                                       | Electronic Arts                        | PlayStation Portable | 2006 | NTSC (NA)
|       | Fight Night Round 3                                                                | EA Sports                              | PlayStation Portable | 2006 | NTSC (NA)
|       | Final Fantasy 20th Anniversary                                                     | Square Enix                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Final Fantasy II                                                                   | Square Enix                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Final Fantasy IV: The Complete Collection                                          | Square Enix                            | PlayStation Portable | 2011 | NTSC (NA)
|       | Final Fantasy Tactics: The War of the Lions                                        | Square Enix                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Final Fantasy VII: Advent Children                                                 | Square Enix                            | PlayStation Portable | 2006 | NTSC (NA)
|       | FlatOut: Head On                                                                   | Empire Interactive                     | PlayStation Portable | 2008 | NTSC (NA)
|       | Ford Bold Moves Street Racing                                                      | Eidos Interactive                      | PlayStation Portable | 2006 | NTSC (NA)
|       | Ford Racing: Off Road                                                              | Empire Interactive                     | PlayStation Portable | 2008 | NTSC (NA)
|       | Frantix: A Puzzle Adventure                                                        | Sony Online Entertainment              | PlayStation Portable | 2005 | NTSC (NA)
|       | Frogger Helmet Chaos                                                               | Konami                                 | PlayStation Portable | 2005 | NTSC (NA)
|       | From Russia With Love                                                              | Electronic Arts                        | PlayStation Portable | 2006 | NTSC (NA)
|       | Full Auto 2: Battlelines                                                           | Sega                                   | PlayStation Portable | 2007 | NTSC (NA)
