|       | Desert Strike: Return to the Gulf                                                       | Electronic Arts              | Super Nintendo | 1992 | NTSC (NA)
|       | Dig & Spike Volleyball                                                                  | Hudson Soft                  | Super Nintendo | 1993 | NTSC (NA)
|       | Dinocity                                                                                | Irem                         | Super Nintendo | 1992 | NTSC (NA)
|       | Dirt Trax FX                                                                            | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Disney's Aladdin                                                                        | Capcom                       | Super Nintendo | 1993 | NTSC (NA)
|       | Disney's Beauty and the Beast                                                           | Hudson                       | Super Nintendo | 1994 | NTSC (NA)
|       | Disney's Goof Troop                                                                     | Capcom                       | Super Nintendo | 1993 | NTSC (NA)
|       | Disney's Pinocchio                                                                      | Disney Interactive Studios   | Super Nintendo | 1996 | NTSC (NA)
|       | Disney's The Jungle Book                                                                | Virgin Interactive           | Super Nintendo | 1994 | NTSC (NA)
|       | Disney's Timon & Pumbaa's Jungle Games                                                  | THQ                          | Super Nintendo | 1997 | NTSC (NA)
|       | Donkey Kong Country                                                                     | Nintendo                     | Super Nintendo | 1994 | NTSC (NA)
|       | Donkey Kong Country 2: Diddy's Kong Quest                                               | Nintendo                     | Super Nintendo | 1995 | NTSC (NA)
|       | Donkey Kong Country 3: Dixie Kong's Double Trouble                                      | Nintendo                     | Super Nintendo | 1996 | NTSC (NA)
|       | Doom                                                                                    | Williams                     | Super Nintendo | 1995 | NTSC (NA)
|       | Doom Troopers                                                                           | Playmates                    | Super Nintendo | 1995 | NTSC (NA)
|       | Doomsday Warrior                                                                        | Renovation                   | Super Nintendo | 1993 | NTSC (NA)
|       | Double Dragon V: The Shadow Falls                                                       | Tradewest                    | Super Nintendo | 1994 | NTSC (NA)
|       | Dragon View                                                                             | Kemco                        | Super Nintendo | 1994 | NTSC (NA)
|       | Dragon: The Bruce Lee Story                                                             | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Dragon's Lair                                                                           | Data East                    | Super Nintendo | 1993 | NTSC (NA)
|       | Drakkhen                                                                                | Seika Corp.                  | Super Nintendo | 1991 | NTSC (NA)
|       | Dream T.V.                                                                              | Triffix                      | Super Nintendo | 1994 | NTSC (NA)
|       | Dungeon Master                                                                          | JVC Digital Studios          | Super Nintendo | 1993 | NTSC (NA)
|       | E.V.O.: Search for Eden                                                                 | Enix America, Inc.           | Super Nintendo | 1993 | NTSC (NA)
|       | Earth Defense Force                                                                     | Jaleco Entertainment         | Super Nintendo | 1992 | NTSC (NA)
|       | EarthBound                                                                              | Nintendo                     | Super Nintendo | 1995 | NTSC (NA)
|       | Earthworm Jim                                                                           | Playmates                    | Super Nintendo | 1994 | NTSC (NA)
|       | Earthworm Jim 2                                                                         | Playmates                    | Super Nintendo | 1995 | NTSC (NA)
|       | Eek! The Cat                                                                            | Ocean                        | Super Nintendo | 1994 | NTSC (NA)
|       | Elite Soccer                                                                            | GameTek                      | Super Nintendo | 1994 | NTSC (NA)
|       | Emmitt Smith Football                                                                   | JVC Digital Studios          | Super Nintendo | 1995 | NTSC (NA)
|       | Equinox                                                                                 | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | ESPN Baseball Tonight                                                                   | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | ESPN National Hockey Night                                                              | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | ESPN Speedworld                                                                         | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | ESPN Sunday Night NFL                                                                   | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | Extra Innings                                                                           | Sony Imagesoft               | Super Nintendo | 1992 | NTSC (NA)
|       | F-Zero                                                                                  | Nintendo                     | Super Nintendo | 1991 | NTSC (NA)
|       | F1 Pole Position                                                                        | Ubisoft                      | Super Nintendo | 1993 | NTSC (NA)
|       | F1 ROC II: Race of Champions                                                            | Seta Corporation             | Super Nintendo | 1994 | NTSC (NA)
|       | F1 ROC: Race of Champions                                                               | Seta Corporation             | Super Nintendo | 1992 | NTSC (NA)
|       | Faceball 2000                                                                           | Bullet Proof Software        | Super Nintendo | 1992 | NTSC (NA)
|       | Family Dog                                                                              | Malibu                       | Super Nintendo | 1993 | NTSC (NA)
|       | Family Feud                                                                             | GameTek                      | Super Nintendo | 1993 | NTSC (NA)
|       | Fatal Fury                                                                              | Takara                       | Super Nintendo | 1993 | NTSC (NA)
|       | Fatal Fury 2                                                                            | Takara                       | Super Nintendo | 1994 | NTSC (NA)
