|       | Death and Return of Superman, The                         | SunSoft                      | Sega Genesis | 1995 | NTSC (NA)
|       | Death Duel                                                | Razorsoft                    | Sega Genesis | 1992 | NTSC (NA)
|       | Decap Attack                                              | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Demolition Man                                            | Acclaim                      | Sega Genesis | 1995 | NTSC (NA)
|       | Desert Demolition Starring Road Runner and Wile E. Coyote | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Desert Strike: Return to the Gulf                         | Electronic Arts              | Sega Genesis | 1992 | NTSC (NA)
|       | Devilish: The Next Possession                             | Sage's Creation              | Sega Genesis | 1992 | NTSC (NA)
|       | Dick Tracy                                                | Capcom                       | Sega Genesis | 1990 | NTSC (NA)
|       | Dick Vitale's Awesome Baby! College Hoops                 | Time Warner Interactive      | Sega Genesis | 1994 | NTSC (NA)
|       | Dino Land                                                 | Renovation                   | Sega Genesis | 1991 | NTSC (NA)
|       | Dinosaurs for Hire                                        | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Disney's Aladdin                                          | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Disney's Ariel: The Little Mermaid                        | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Disney's Beauty and the Beast: Belle's Quest              | SunSoft                      | Sega Genesis | 1993 | NTSC (NA)
|       | Disney's Beauty and the Beast: Roar of the Beast          | SunSoft                      | Sega Genesis | 1993 | NTSC (NA)
|       | Disney's Bonkers                                          | Capcom                       | Sega Genesis | 1994 | NTSC (NA)
|       | Disney's Pinocchio                                        | THQ                          | Sega Genesis | 1996 | NTSC (NA)
|       | Disney's TaleSpin                                         | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Disney's The Jungle Book                                  | Virgin Interactive           | Sega Genesis | 1994 | NTSC (NA)
|       | DJ Boy                                                    | Kaneko                       | Sega Genesis | 1990 | NTSC (NA)
|       | Doom Troopers                                             | Playmates                    | Sega Genesis | 1995 | NTSC (NA)
|       | Double Dragon                                             | Ballistic                    | Sega Genesis | 1993 | NTSC (NA)
|       | Double Dragon 3: The Arcade Game                          | Flying Edge                  | Sega Genesis | 1992 | NTSC (NA)
|       | Double Dragon V: The Shadow Falls                         | Tradewest                    | Sega Genesis | 1994 | NTSC (NA)
|       | Double Dribble: The Playoff Edition                       | Konami                       | Sega Genesis | 1994 | NTSC (NA)
|       | Double Dribble: The Playoff Edition                       | Konami                       | Sega Genesis | 1994 | NTSC (NA)
|       | Dr. Robotnik's Mean Bean Machine                          | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Dragon: The Bruce Lee Story                               | Acclaim                      | Sega Genesis | 1994 | NTSC (NA)
|       | Dragon's Fury                                             | Tengen                       | Sega Genesis | 1992 | NTSC (NA)
|       | Dragon's Revenge                                          | Tengen                       | Sega Genesis | 1993 | NTSC (NA)
|       | Duke Nukem 3D                                             | Piko Interactive LLC         | Sega Genesis | 2015 | NTSC (NA)
|       | Dune: The Battle for Arrakis                              | Virgin Interactive           | Sega Genesis | 1993 | NTSC (NA)
|       | Dungeons & Dragons: Warriors of the Eternal Sun           | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Dynamite Duke                                             | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Dynamite Headdy                                           | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Earnest Evans                                             | Renovation                   | Sega Genesis | 1992 | NTSC (NA)
|       | Earth Defense                                             | Realtec                      | Sega Genesis | 1995 | NTSC (NA)
|       | Earthworm Jim                                             | Playmates                    | Sega Genesis | 1994 | NTSC (NA)
|       | Earthworm Jim 2                                           | Playmates                    | Sega Genesis | 1996 | NTSC (NA)
|       | Ecco Jr.                                                  | Sega                         | Sega Genesis | 1995 | NTSC (NA)
|       | Ecco the Dolphin                                          | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Ecco: The Tides of Time                                   | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | El Viento                                                 | Renovation                   | Sega Genesis | 1991 | NTSC (NA)
|       | Elemental Master                                          | Renovation                   | Sega Genesis | 1993 | NTSC (NA)
|       | ESPN Baseball Tonight                                     | Sony Imagesoft               | Sega Genesis | 1995 | NTSC (NA)
|       | ESPN National Hockey Night                                | Sony Imagesoft               | Sega Genesis | 1994 | NTSC (NA)
|       | ESPN Speed World                                          | Sony Imagesoft               | Sega Genesis | 1994 | NTSC (NA)
|       | ESPN Sunday Night NFL                                     | Sony Imagesoft               | Sega Genesis | 1994 | NTSC (NA)
|       | ESWAT: City Under Siege                                   | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Eternal Champions                                         | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Evander 'Real Deal' Holyfield's Boxing                    | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Ex-Mutants                                                | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Exile                                                     | Renovation                   | Sega Genesis | 1991 | NTSC (NA)
|       | Exodus: Journey to the Promised Land                      | Wisdom Tree                  | Sega Genesis | 1993 | NTSC (NA)
|       | ExoSquad                                                  | Playmates                    | Sega Genesis | 1995 | NTSC (NA)
|       | F-117 Night Storm                                         | EA Games                     | Sega Genesis | 1993 | NTSC (NA)
|       | F-15 Strike Eagle II                                      | MicroProse                   | Sega Genesis | 1993 | NTSC (NA)
|       | F-22 Interceptor                                          | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Faery Tale Adventure, The                                 | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Family Feud                                               | GameTek                      | Sega Genesis | 1993 | NTSC (NA)
|       | Fantasia                                                  | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Fantastic Dizzy                                           | Codemasters                  | Sega Genesis | 1993 | NTSC (NA)
|       | Fatal Fury                                                | Takara                       | Sega Genesis | 1993 | NTSC (NA)
|       | Fatal Fury 2                                              | Takara                       | Sega Genesis | 1994 | NTSC (NA)
|       | Fatal Labyrinth                                           | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Fatal Rewind                                              | Electronic Arts              | Sega Genesis | 1991 | NTSC (NA)
|       | Ferrari Grand Prix Challenge                              | Flying Edge                  | Sega Genesis | 1992 | NTSC (NA)
|       | Fido Dido                                                 | Kaneko                       | Sega Genesis | 1994 | NTSC (NA)
|       | FIFA International Soccer                                 | Electronic Arts              | Sega Genesis | 1993 | NTSC (NA)
|       | FIFA Soccer '95                                           | Electronic Arts              | Sega Genesis | 1994 | NTSC (NA)
|       | FIFA Soccer 96                                            | EA Sports                    | Sega Genesis | 1995 | NTSC (NA)
|       | FIFA Soccer 97                                            | EA Sports                    | Sega Genesis | 1996 | NTSC (NA)
|       | Fighting Masters                                          | Treco                        | Sega Genesis | 1992 | NTSC (NA)
|       | Final Zone                                                | Renovation                   | Sega Genesis | 1990 | NTSC (NA)
|       | Fire Shark                                                | Dreamworks Games             | Sega Genesis | 1990 | NTSC (NA)
|       | Flashback: The Quest for Identity                         | U.S. Gold                    | Sega Genesis | 1993 | NTSC (NA)
|       | Flicky                                                    | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Flintstones, The                                          | Taito Corporation            | Sega Genesis | 1993 | NTSC (NA)
|       | Foreman For Real                                          | Acclaim                      | Sega Genesis | 1995 | NTSC (NA)
|       | Forgotten Worlds                                          | Sega                         | Sega Genesis | 1989 | NTSC (NA)
|       | Formula One                                               | Tengen                       | Sega Genesis | 1993 | NTSC (NA)
|       | Frank Thomas Big Hurt Baseball                            | Acclaim                      | Sega Genesis | 1995 | NTSC (NA)
|       | Frogger                                                   | Majesco Games                | Sega Genesis | 1998 | NTSC (NA)
|       | Fun 'n' Games                                             | Tradewest                    | Sega Genesis | 1993 | NTSC (NA)
|       | Funny World & Balloon Boy                                 | Realtec                      | Sega Genesis | 1993 | NTSC (NA)
|       | G-LOC Air Battle                                          | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Gadget Twins                                              | GameTek                      | Sega Genesis | 1992 | NTSC (NA)
|       | Gaiares                                                   | Renovation                   | Sega Genesis | 1990 | NTSC (NA)
|       | Gain Ground                                               | Renovation                   | Sega Genesis | 1991 | NTSC (NA)
|       | Galahad                                                   | Electronic Arts              | Sega Genesis | 1992 | NTSC (NA)
|       | Galaxy Force II                                           | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Garfield: Caught in the Act                               | Sega                         | Sega Genesis | 1995 | NTSC (NA)
|       | Gargoyles                                                 | Disney Interactive Studios   | Sega Genesis | 1995 | NTSC (NA)
|       | Garry Kitchen's Super Battletank: War in the Gulf         | Absolute Entertainment       | Sega Genesis | 1992 | NTSC (NA)
|       | Gauntlet IV                                               | Tengen                       | Sega Genesis | 1993 | NTSC (NA)
|       | Gemfire                                                   | Koei                         | Sega Genesis | 1992 | NTSC (NA)
|       | General Chaos                                             | Electronic Arts              | Sega Genesis | 1994 | NTSC (NA)
|       | Generations Lost                                          | Time Warner Interactive      | Sega Genesis | 1994 | NTSC (NA)
|       | Genghis Khan II: Clan of the Gray Wolf                    | Koei                         | Sega Genesis | 1993 | NTSC (NA)
|       | George Foreman's KO Boxing                                | Flying Edge                  | Sega Genesis | 1992 | NTSC (NA)
|       | Ghostbusters                                              | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Ghouls 'n Ghosts                                          | Sega                         | Sega Genesis | 1989 | NTSC (NA)
|       | Gods                                                      | Mindscape Inc.               | Sega Genesis | 1992 | NTSC (NA)
|       | Golden Axe                                                | Sega                         | Sega Genesis | 1989 | NTSC (NA)
|       | Golden Axe II                                             | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Goofy's Hysterical History Tour                           | Absolute Entertainment       | Sega Genesis | 1993 | NTSC (NA)
|       | Granada                                                   | Renovation                   | Sega Genesis | 1990 | NTSC (NA)
|       | Great Circus Mystery, The                                 | Capcom                       | Sega Genesis | 1994 | NTSC (NA)
|       | Great Waldo Search, The                                   | THQ                          | Sega Genesis | 1992 | NTSC (NA)
|       | Greatest Heavyweights                                     | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Greendog: The Beached Surfer Dude!                        | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Grind Stormer                                             | Tengen                       | Sega Genesis | 1994 | NTSC (NA)
|       | Growl                                                     | Taito Corporation            | Sega Genesis | 1991 | NTSC (NA)
|       | Gunstar Heroes                                            | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Hard Drivin'                                              | Tengen                       | Sega Genesis | 1991 | NTSC (NA)
|       | Hardball '94                                              | Accolade                     | Sega Genesis | 1994 | NTSC (NA)
|       | Hardball '95                                              | Accolade                     | Sega Genesis | 1995 | NTSC (NA)
|       | Hardball III                                              | Accolade                     | Sega Genesis | 1993 | NTSC (NA)
|       | Hardball!                                                 | Ballistic                    | Sega Genesis | 1991 | NTSC (NA)
